interpro_id,keywords
IPR000053,"thymidinepyrimidine,phosphorylase,thymidinepyrimidine nucleoside,nucleoside phosphorylase,14,alpha,oligoglucan,phosphorylase,14 alpha,alpha oligoglucan,oligoglucan phosphorylase,phosphorylase activity,pyrimidine,pyrimidine nucleobase,nucleobase metabolic,glycosyltransferase,glycosyltransferase activity,pyrimidine,pyrimidine nucleobase,nucleobase metabolic,containing small,hexosyltransferase,hexosyltransferase activity,pyrimidine,pyrimidine containing,nucleobase metabolic,14,alpha,oligoglucan,phosphorylase,14 alpha,alpha oligoglucan,oligoglucan phosphorylase,phosphorylase activity"
IPR000054,"large,ribosomal,el31,large ribosomal,ribosomal subunit,subunit protein,protein el31,structural,constituent,ribosome,structural constituent,constituent of,of ribosome,translation,ribosome,structural,structural molecule,molecule activity,peptide,peptide metabolic,peptide,peptide biosynthetic,non,intracellular non,non membrane,amide,amide biosynthetic,structural,constituent,ribosome,structural constituent,constituent of,of ribosome,translation,amide,amide metabolic,non,non membrane,ribosome"
IPR000055,"restriction,modification,specificity,type i,i restriction,restriction modification,modification dna,dna specificity,specificity domain"
IPR000056,"ribulose,epimerase,ribulose phosphate,phosphate 3,3 epimerase,epimerase like,racemase,and,epimerase,racemase and,and epimerase,epimerase activity,carbohydrates,and,derivatives,on carbohydrates,carbohydrates and,and derivatives,carbohydrate metabolic,isomerase,isomerase activity,racemase,and,epimerase,racemase and,and epimerase,epimerase activity,carbohydrates,and,derivatives,on carbohydrates,carbohydrates and,and derivatives,racemase,and,epimerase,racemase and,and epimerase,epimerase activity,carbohydrate metabolic"
IPR000057,"cxc,chemokine,cxc chemokine,chemokine receptor,receptor 2,chemokine,c x,x c,c chemokine,chemokine receptor,receptor activity,interleukin,interleukin 8,8 binding,chemotaxis,coupled,pathway,g protein,protein coupled,coupled receptor,receptor signaling,signaling pathway,interleukin,interleukin 8,8 binding,locomotion,immune,immune receptor,receptor activity,chemokine,chemokine receptor,receptor activity,communication,cell communication,taxis,signal,transduction,signal transduction,chemical,to chemical,transmembrane signaling,signaling receptor,receptor activity,coupled,chemoattractant,g protein,protein coupled,coupled chemoattractant,chemoattractant receptor,receptor activity,cytokine,cytokine binding,cytokine,cytokine receptor,receptor activity,chemokine,c x,x c,c chemokine,chemokine binding,chemokine,c x,x c,c chemokine,chemokine receptor,receptor activity,chemokine,chemokine binding,transducer,molecular transducer,transducer activity,signaling receptor,receptor activity,protein binding,coupled,pathway,g protein,protein coupled,coupled receptor,receptor signaling,signaling pathway,coupled,g protein,protein coupled,coupled receptor,receptor activity,external,to external,external stimulus,chemotaxis"
IPR000058,"zinc,finger,zinc finger,an1,an1 type,zinc,zinc ion,cation binding,transition,transition metal,zinc,zinc ion"
IPR000059,"nudix,nudix hydrolase,nudl,conserved,site,conserved site,magnesium,magnesium ion,anhydrides,on acid,acid anhydrides,anhydrides,in phosphorus,containing anhydrides,manganese,manganese ion,diphosphate,nucleoside diphosphate,diphosphate metabolic,cation binding,organophosphate,organophosphate metabolic,containing small,phosphorus metabolic,anhydrides,on acid,acid anhydrides,anhydrides,in phosphorus,containing anhydrides,phosphate metabolic,magnesium,magnesium ion,manganese,manganese ion,transition,transition metal,anhydrides,on acid,acid anhydrides,diphosphate,nucleoside diphosphate,diphosphate metabolic,phosphate containing"
IPR000060,"bcct,bcct transporter,transporter family,transmembrane transporter,transporter activity,compound transport,transmembrane transporter,transporter activity,transporter activity,compound transport"
IPR000061,"swapsurp,rna binding,processing,rna processing,processing,rna processing,rna binding"
IPR000064,"endopeptidase,nlpcp60,nlpcp60 domain"
IPR000065,"leptin,hormone,hormone activity,signal,transduction,signal transduction,extracellular,region,extracellular region,extracellular,region,extracellular region,communication,cell communication,signal,transduction,signal transduction,activator,signaling receptor,receptor activator,activator activity,signaling receptor,receptor regulator,regulator activity,signaling receptor,receptor binding,protein binding,function,function regulator,regulator activity,hormone,hormone activity,function,activator,function activator,activator activity,ligand,receptor ligand,ligand activity"
IPR000066,"antenna,antenna complex,alphabeta,alphabeta subunit,electron,electron transporter,electrons,within,the,electron,pathway,photosynthesis,transferring electrons,electrons within,within the,the cyclic,cyclic electron,electron transport,transport pathway,pathway of,of photosynthesis,photosynthesis activity,photosynthesis,light,reaction,light reaction,plasma,light,harvesting,plasma membrane,membrane light,light harvesting,harvesting complex,generation,precursor,metabolites,and,energy,generation of,of precursor,precursor metabolites,metabolites and,and energy,vesicle,electron,electron transporter,electrons,within,the,electron,pathway,photosynthesis,transferring electrons,electrons within,within the,the cyclic,cyclic electron,electron transport,transport pathway,pathway of,of photosynthesis,photosynthesis activity,light,harvesting,light harvesting,harvesting complex,plasma,derived,chromatophore,plasma membrane,membrane derived,derived chromatophore,cytoplasm,photosynthesis,light,reaction,light reaction,photosynthesis,cytoplasmic,vesicle,cytoplasmic vesicle,plasma,light,harvesting,plasma membrane,membrane light,light harvesting,harvesting complex,electron,transfer,electron transfer,transfer activity,vesicle,intracellular vesicle"
IPR000067,"flagellar,ring,flif,flagellar m,m ring,ring protein,protein flif,cytoskeletal,motor,cytoskeletal motor,motor activity,bacterial,flagellum,motility,bacterial type,type flagellum,flagellum dependent,dependent cell,cell motility,bacterial,flagellum,basal,body,bacterial type,type flagellum,flagellum basal,basal body,ms,ring,ms ring,bacterial,flagellum,motility,bacterial type,type flagellum,flagellum dependent,dependent cell,cell motility,bacterial,flagellum,bacterial type,type flagellum,archaeal,bacterial,flagellum,motility,archaeal or,or bacterial,bacterial type,type flagellum,flagellum dependent,dependent cell,cell motility,cilium,flagellum,motility,cilium or,or flagellum,flagellum dependent,dependent cell,cell motility,cytoskeletal,motor,cytoskeletal motor,motor activity,motility,cell motility,bacterial,flagellum,basal,body,bacterial type,type flagellum,flagellum basal,basal body,bacterial,flagellum,basal,body,bacterial type,type flagellum,flagellum basal,basal body,ms,ring,ms ring,projection,cell projection,non,non membrane"
IPR000068,"gpcr,family 3,extracellular,calcium,sensing,related,extracellular calcium,calcium sensing,sensing receptor,receptor related,coupled,g protein,protein coupled,coupled receptor,receptor activity,coupled,pathway,g protein,protein coupled,coupled receptor,receptor signaling,signaling pathway,communication,cell communication,signal,transduction,signal transduction,transmembrane signaling,signaling receptor,receptor activity,transducer,molecular transducer,transducer activity,signaling receptor,receptor activity,coupled,pathway,g protein,protein coupled,coupled receptor,receptor signaling,signaling pathway,coupled,g protein,protein coupled,coupled receptor,receptor activity"
IPR000070,"pectinesterase,pectinesterase,pectinesterase activity,wall,modification,cell wall,wall modification,carboxylic,ester,carboxylic ester,ester hydrolase,wall,modification,cell wall,wall modification,organization,biogenesis,component organization,organization or,or biogenesis,external,encapsulating,organization,external encapsulating,encapsulating structure,structure organization,pectinesterase,pectinesterase activity,ester,on ester,ester bonds,wall,organization,biogenesis,cell wall,wall organization,organization or,or biogenesis,wall,organization,cell wall,wall organization,organization,component organization"
IPR000073,"alphabeta,fold,alphabeta hydrolase,hydrolase fold,fold 1"
IPR000074,"apolipoprotein,ae,apolipoprotein ae,lipid,lipid binding,lipid,lipid transport,lipoprotein,lipoprotein metabolic,extracellular,region,extracellular region,lipid,lipid binding,extracellular,region,extracellular region,lipoprotein,lipoprotein metabolic,macromolecule localization,lipid,lipid transport,lipid,lipid localization,substance transport"
IPR000076,"kcl,co,kcl co,co transporter,potassiumchloride,symporter,potassiumchloride symporter,symporter activity,monoatomic,monoatomic ion,ion transport,transmembrane transporter,transporter activity,monoatomic,monoatomic ion,ion transmembrane,transmembrane transporter,transporter activity,salt,salt transmembrane,transmembrane transporter,transporter activity,monoatomic,monoatomic cation,cation transmembrane,transmembrane transporter,transporter activity,potassiumchloride,symporter,potassiumchloride symporter,symporter activity,ion transmembrane,transmembrane transporter,transporter activity,active,active transmembrane,transmembrane transporter,transporter activity,inorganic,inorganic molecular,molecular entity,entity transmembrane,transmembrane transporter,transporter activity,symporter,symporter activity,secondary,active,secondary active,active transmembrane,transmembrane transporter,transporter activity,transporter activity,inorganic,inorganic anion,anion transmembrane,transmembrane transporter,transporter activity,chloride,chloride transmembrane,transmembrane transporter,transporter activity,inorganic,inorganic cation,cation transmembrane,transmembrane transporter,transporter activity,monoatomic,anionmonoatomic,symporter,monoatomic anionmonoatomic,anionmonoatomic cation,cation symporter,symporter activity,monoatomic,monoatomic anion,anion transmembrane,transmembrane transporter,transporter activity,solutemonoatomic,symporter,solutemonoatomic cation,cation symporter,symporter activity,monoatomic,monoatomic ion,ion transport,chloridemonoatomic,symporter,chloridemonoatomic cation,cation symporter,symporter activity,potassium,potassium ion,ion transmembrane,transmembrane transporter,transporter activity,active,monoatomic,active monoatomic,monoatomic ion,ion transmembrane,transmembrane transporter,transporter activity"
IPR000077,"large,ribosomal,el39,large ribosomal,ribosomal subunit,subunit protein,protein el39,structural,constituent,ribosome,structural constituent,constituent of,of ribosome,translation,ribosome,structural,structural molecule,molecule activity,peptide,peptide metabolic,peptide,peptide biosynthetic,non,intracellular non,non membrane,amide,amide biosynthetic,structural,constituent,ribosome,structural constituent,constituent of,of ribosome,translation,amide,amide metabolic,non,non membrane,ribosome"
IPR000079,"high,mobility,hmgn,high mobility,mobility group,group protein,protein hmgn,nucleosomal,nucleosomal dna,chromatin,nucleus,nucleosomal,nucleosomal dna,protein dna,dna complex,nucleosome,nucleosome binding,complex binding,chromatin,chromatin binding,non,intracellular non,non membrane,chromatin,chromatin dna,chromosome,nucleus,chromatin,non,non membrane"
IPR000082,"sea,sea domain"
IPR000083,"fibronectin,type i,extracellular,region,extracellular region,extracellular,region,extracellular region"
IPR000085,"holliday,junction,branch,migration,ruva,holliday junction,junction branch,branch migration,migration complex,complex subunit,subunit ruva,helicase,dna helicase,helicase activity,repair,dna repair,recombination,dna recombination,repair,dna repair,atp dependent,dependent activity,on dna,atp dependent,dependent activity,dna metabolic,stress,to stress,damage,dna damage,damage response,recombination,dna recombination,stress,to stress,helicase,dna helicase,helicase activity,on dna,a nucleic,helicase,helicase activity"
IPR000089,"biotinlipoyl,attachment,biotinlipoyl attachment"
IPR000091,"huntingtin,nucleus,cytoplasm,cytoplasm,nucleus"
IPR000092,"polyprenyl,synthetase,polyprenyl synthetase,isoprenoid,isoprenoid biosynthetic,lipid,cellular lipid,lipid metabolic,lipid,lipid metabolic,isoprenoid,isoprenoid biosynthetic,isoprenoid,isoprenoid metabolic,lipid,lipid biosynthetic"
IPR000093,"recombination,recr,dna recombination,recombination protein,protein recr,repair,dna repair,recombination,dna recombination,cation binding,repair,dna repair,dna metabolic,recombination,dna recombination,stress,to stress,damage,dna damage,damage response,stress,to stress"
IPR000095,"crib,crib domain"
IPR000096,"serum,amyloid,serum amyloid,amyloid a,a protein,extracellular,region,extracellular region,extracellular,region,extracellular region"
IPR000100,"ribonuclease,ribonuclease p,trna,trna binding,ribonuclease,ribonuclease p,p activity,trna,processing,trna processing,endonuclease,rna endonuclease,endonuclease activity,ncrna,ncrna metabolic,nuclease,rna nuclease,nuclease activity,trna,trna metabolic,endonuclease,endonuclease activity,processing,rna processing,endonuclease,endonuclease activity,active,with,either,ribo,deoxyribonucleic,acids,and,producing,phosphomonoesters,active with,with either,either ribo,ribo or,or deoxyribonucleic,deoxyribonucleic acids,acids and,and producing,producing 5,5 phosphomonoesters,on rna,trna,trna binding,rna binding,trna,a trna,endonuclease,rna endonuclease,endonuclease activity,producing,phosphomonoesters,producing 5,5 phosphomonoesters,nuclease,nuclease activity,ncrna,processing,ncrna processing,ribonuclease,ribonuclease p,p activity,trna,specific,ribonuclease,trna specific,specific ribonuclease,ribonuclease activity,trna,processing,trna processing,ester,on ester,ester bonds,a nucleic"
IPR000102,"neuraxinmap1b,repeat,neuraxinmap1b repeat"
IPR000104,"antifreeze,antifreeze protein,type i,ice,ice binding,ice,ice binding,molecule binding"
IPR000105,"mu,opioid,mu opioid,opioid receptor,beta,endorphin,beta endorphin,endorphin receptor,receptor activity,coupled,pathway,g protein,protein coupled,coupled receptor,receptor signaling,signaling pathway,neuropeptide,neuropeptide receptor,receptor activity,beta,endorphin,beta endorphin,endorphin receptor,receptor activity,communication,cell communication,signal,transduction,signal transduction,melanocortin,melanocortin receptor,receptor activity,peptide,peptide receptor,receptor activity,coupled,peptide,g protein,protein coupled,coupled peptide,peptide receptor,receptor activity,transmembrane signaling,signaling receptor,receptor activity,transducer,molecular transducer,transducer activity,signaling receptor,receptor activity,coupled,pathway,g protein,protein coupled,coupled receptor,receptor signaling,signaling pathway,coupled,g protein,protein coupled,coupled receptor,receptor activity,coupled,opioid,g protein,protein coupled,coupled opioid,opioid receptor,receptor activity"
IPR000109,"proton,oligopeptide,proton dependent,dependent oligopeptide,oligopeptide transporter,transporter family,transmembrane transporter,transporter activity,transmembrane transport,transmembrane transporter,transporter activity,transmembrane transport,transporter activity"
IPR000110,"ribosomal,bs1,small ribosomal,ribosomal subunit,subunit protein,protein bs1,rna binding,structural,constituent,ribosome,structural constituent,constituent of,of ribosome,translation,ribosome,structural,structural molecule,molecule activity,peptide,peptide metabolic,peptide,peptide biosynthetic,non,intracellular non,non membrane,amide,amide biosynthetic,structural,constituent,ribosome,structural constituent,constituent of,of ribosome,translation,amide,amide metabolic,rna binding,non,non membrane,ribosome"
IPR000111,"glycoside,2736,glycoside hydrolase,hydrolase family,family 2736,conserved,site,conserved site,hydrolyzing,glycosyl,compounds,hydrolyzing o,o glycosyl,glycosyl compounds,carbohydrate metabolic,hydrolyzing,glycosyl,compounds,hydrolyzing o,o glycosyl,glycosyl compounds,carbohydrate metabolic,glycosyl,on glycosyl,glycosyl bonds"
IPR000112,"gpcr,family 3,metabotropic,glutamate,metabotropic glutamate,glutamate receptor,receptor 6,coupled,pathway,g protein,protein coupled,coupled receptor,receptor signaling,signaling pathway,communication,cell communication,signal,transduction,signal transduction,coupled,pathway,g protein,protein coupled,coupled receptor,receptor signaling,signaling pathway"
IPR000114,"large,ribosomal,ul16,large ribosomal,ribosomal subunit,subunit protein,protein ul16,bacterial,bacterial type,structural,constituent,ribosome,structural constituent,constituent of,of ribosome,rrna,rrna binding,translation,structural,structural molecule,molecule activity,peptide,peptide metabolic,peptide,peptide biosynthetic,amide,amide biosynthetic,structural,constituent,ribosome,structural constituent,constituent of,of ribosome,translation,amide,amide metabolic,rna binding,rrna,rrna binding"
IPR000115,"phosphoribosylglycinamide,synthetase,phosphoribosylglycinamide synthetase,phosphoribosylamine,glycine,ligase,phosphoribosylamine glycine,glycine ligase,ligase activity,purine,purine nucleobase,nucleobase biosynthetic,phosphoribosylamine,glycine,ligase,phosphoribosylamine glycine,glycine ligase,ligase activity,ligase,ligase activity,forming,forming carbon,carbon nitrogen,nitrogen bonds,ligase,ligase activity,purine,purine containing,containing small,purine,purine nucleobase,nucleobase metabolic,purine,purine containing,nucleobase metabolic,purine,purine nucleobase,nucleobase biosynthetic,nucleobase biosynthetic"
IPR000116,"high,mobility,hmga,high mobility,mobility group,group protein,protein hmga,templated,of dna,dna templated,templated transcription,chromatin,nucleus,of rna,of biosynthetic,rna biosynthetic,of metabolic,templated,of dna,dna templated,templated transcription,of gene,chromosome,of macromolecule,nucleus,of rna,rna biosynthetic,templated,dna templated,templated transcription,of primary,of macromolecule,protein dna,dna complex,of nucleobase,of nitrogen,non,intracellular non,non membrane,chromatin,non,non membrane"
IPR000117,"kappa,casein,kappa casein,extracellular,region,extracellular region,extracellular,region,extracellular region"
IPR000118,granulin
IPR000120,amidase
